2026-03-18 15:37:07 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 193, season 2026
2026-03-18 15:37:07 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:08 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 193, season 2026
2026-03-18 15:37:09 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:09 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 2567, season 2026
2026-03-18 15:37:10 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 193, season 2026
2026-03-18 15:37:11 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 154, season 2026
2026-03-18 15:37:11 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:12 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 154, season 2026
2026-03-18 15:37:13 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:14 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 154, season 2026
2026-03-18 15:37:14 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:14 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2426, season 2026
2026-03-18 15:37:15 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:16 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2426, season 2026
2026-03-18 15:37:17 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:18 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2426, season 2026
2026-03-18 15:37:18 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:18 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 154, season 2026
2026-03-18 15:37:19 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 2426, season 2026
2026-03-18 15:37:20 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2287, season 2026
2026-03-18 15:37:21 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:22 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2287, season 2026
2026-03-18 15:37:23 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:24 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2287, season 2026
2026-03-18 15:37:24 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:24 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2309, season 2026
2026-03-18 15:37:25 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:26 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2309, season 2026
2026-03-18 15:37:27 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:28 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 2309, season 2026
2026-03-18 15:37:28 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Away stats fetch attempt 3: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:28 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 2287, season 2026
2026-03-18 15:37:29 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN game log for team 2309, season 2026
2026-03-18 15:37:30 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 3084, season 2026
2026-03-18 15:37:30 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 1: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
2026-03-18 15:37:31 | DEBUG    | cbb_totals.src.data.espn_adapter | Fetching ESPN stats for team 3084, season 2026
2026-03-18 15:37:32 | DEBUG    | cbb_totals.src.pipeline.daily_pipeline | Home stats fetch attempt 2: 'avg_rebounds' is an invalid keyword argument for TeamSeasonStats
